_id,DATUM,IME_PRAZNIKA,DAN_V_TEDNU,DELA_PROST_DAN,DAN,MESEC,LETO
195,2011-09-15T00:00:00,vrnitev Primorske k matični domovini,četrtek,ne,15,9,2011
196,2011-10-31T00:00:00,dan reformacije,ponedeljek,da,31,10,2011
197,2011-01-11T00:00:00,dan spomina na mrtve,torek,da,1,11,2011
198,2011-11-23T00:00:00,dan Rudolfa Maistra,sreda,ne,23,11,2011
199,2011-12-25T00:00:00,božič,nedelja,da,25,12,2011
200,2011-12-26T00:00:00,dan samostojnosti in enotnosti,ponedeljek,da,26,12,2011
201,2012-01-01T00:00:00,novo leto,nedelja,da,1,1,2012
202,2012-02-01T00:00:00,novo leto,ponedeljek,da,2,1,2012
203,2012-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sreda,da,8,2,2012
204,2012-08-04T00:00:00,velika noč,nedelja,da,8,4,2012
205,2012-09-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,9,4,2012
206,2012-04-27T00:00:00,dan boja proti okupatorju ,petek,da,27,4,2012
207,2012-01-05T00:00:00,praznik dela,torek,da,1,5,2012
208,2012-02-05T00:00:00,praznik dela,sreda,da,2,5,2012
209,2012-05-27T00:00:00,binkoštna nedelja,nedelja,da,27,5,2012
210,2012-08-06T00:00:00,dan Primoža Trubarja,petek,ne,8,6,2012
211,2012-06-25T00:00:00,dan državnosti,ponedeljek,da,25,6,2012
212,2012-08-15T00:00:00,Marijino vnebovzetje,sreda,da,15,8,2012
213,2012-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,petek,ne ,17,8,2012
214,2012-09-15T00:00:00,vrnitev Primorske k matični domovini,sobota,ne,15,9,2012
215,2012-10-31T00:00:00,dan reformacije,sreda,da,31,10,2012
216,2012-01-11T00:00:00,dan spomina na mrtve,četrtek,da,1,11,2012
217,2012-11-23T00:00:00,dan Rudolfa Maistra,petek,ne,23,11,2012
218,2012-12-25T00:00:00,božič,torek,da,25,12,2012
219,2012-12-26T00:00:00,dan samostojnosti in enotnosti,sreda,da,26,12,2012
220,2013-01-01T00:00:00,novo leto,torek,da,1,1,2013
221,2013-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",petek,da,8,2,2013
222,2013-03-31T00:00:00,velika noč,nedelja,da,31,3,2013
223,2013-01-04T00:00:00,velikonočni ponedeljek,ponedeljek,da,1,4,2013
224,2013-04-27T00:00:00,dan boja proti okupatorju ,sobota,da,27,4,2013
225,2013-01-05T00:00:00,praznik dela,sreda,da,1,5,2013
226,2013-02-05T00:00:00,praznik dela,četrtek,da,2,5,2013
227,2013-05-19T00:00:00,binkoštna nedelja,nedelja,da,19,5,2013
228,2013-08-06T00:00:00,dan Primoža Trubarja,sobota,ne,8,6,2013
229,2013-06-25T00:00:00,dan državnosti,torek,da,25,6,2013
230,2013-08-15T00:00:00,Marijino vnebovzetje,četrtek,da,15,8,2013
231,2013-08-17T00:00:00,združitev prekmurskih Slovencev z matičnim narodom,sobota,ne ,17,8,2013
232,2013-09-15T00:00:00,vrnitev Primorske k matični domovini,nedelja,ne,15,9,2013
233,2013-10-31T00:00:00,dan reformacije,četrtek,da,31,10,2013
234,2013-01-11T00:00:00,dan spomina na mrtve,petek,da,1,11,2013
235,2013-11-23T00:00:00,dan Rudolfa Maistra,sobota,ne,23,11,2013
236,2013-12-25T00:00:00,božič,sreda,da,25,12,2013
237,2013-12-26T00:00:00,dan samostojnosti in enotnosti,četrtek,da,26,12,2013
238,2014-01-01T00:00:00,novo leto,sreda,da,1,1,2014
239,2014-08-02T00:00:00,"Prešernov dan, slovenski kulturni praznik",sobota,da,8,2,2014
240,2014-04-20T00:00:00,velika noč,nedelja,da,20,4,2014
241,2014-04-21T00:00:00,velikonočni ponedeljek,ponedeljek,da,21,4,2014
